Expt,Site,Year,Season,Afactor,A_label,Bfactor,B_label,Rep,GYtha
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V1,IR8 ,1,5670
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V1,IR8 ,2,5939
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V1,IR8 ,3,4994
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V1,IR8 ,4,6012
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V2,IR262-43-8-11,1,6585
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V2,IR262-43-8-11,2,7215
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V2,IR262-43-8-11,3,5087
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V2,IR262-43-8-11,4,5872
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V3,IR400-28-4-5,1,4607
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V3,IR400-28-4-5,2,5055
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V3,IR400-28-4-5,3,4359
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V3,IR400-28-4-5,4,3957
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V4,C4-63,1,4484
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V4,C4-63,2,5449
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V4,C4-63,3,5268
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V4,C4-63,4,3754
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V5,Chianung 242,1,3561
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V5,Chianung 242,2,5944
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V5,Chianung 242,3,4873
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V5,Chianung 242,4,4281
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V6,Taichung (N)1,1,5753
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V6,Taichung (N)1,2,5547
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V6,Taichung (N)1,3,5334
LTCCE-HP,IRRI-B5-B8,1968,DS,F1,0,V6,Taichung (N)1,4,5990
LTCCE-HP,IRRI-B5-B8,1968,DS,F2,40,V1,IR8 ,1,7183
LTCCE-HP,IRRI-B5-B8,1968,DS,F2,40,V1,IR8 ,2,6541
LTCCE-HP,IRRI-B5-B8,1968,DS,F2,40,V1,IR8 ,3,5601
LTCCE-HP,IRRI-B5-B8,1968,DS,F2,40,V1,IR8 ,4,
